time,co2
11/14/2024 02:23:11,352.1
11/14/2024 02:23:13,352.1
11/14/2024 02:23:15,352.1
11/14/2024 02:23:17,352.1
11/14/2024 02:23:19,352.1
11/14/2024 02:23:21,328.3
11/14/2024 02:23:23,328.3
11/14/2024 02:23:25,328.3
11/14/2024 02:23:27,328.3
11/14/2024 02:23:29,328.3
11/14/2024 02:23:31,328.3
11/14/2024 02:23:33,402.2
11/14/2024 02:23:35,352.1
11/14/2024 02:23:37,328.3
11/14/2024 02:23:39,352.1
11/14/2024 02:23:41,328.3
11/14/2024 02:23:43,328.3
11/14/2024 02:23:45,328.3
11/14/2024 02:23:47,328.3
11/14/2024 02:23:49,328.3
11/14/2024 02:23:51,328.3
11/14/2024 02:23:53,328.3
11/14/2024 02:23:55,352.1
11/14/2024 02:23:57,328.3
11/14/2024 02:23:59,352.1
11/14/2024 02:24:01,328.3
11/14/2024 02:24:03,328.3
11/14/2024 02:24:05,328.3
11/14/2024 02:24:07,352.1
11/14/2024 02:24:09,352.1
11/14/2024 02:24:11,328.3
11/14/2024 02:24:13,328.3
11/14/2024 02:24:15,328.3
11/14/2024 02:24:17,328.3
11/14/2024 02:24:19,328.3
11/14/2024 02:24:21,328.3
11/14/2024 02:24:23,352.1
11/14/2024 02:24:25,352.1
11/14/2024 02:24:27,352.1
11/14/2024 02:24:29,328.3
11/14/2024 02:24:31,328.3
11/14/2024 02:24:33,328.3
11/14/2024 02:24:35,328.3
11/14/2024 02:24:38,328.3
11/14/2024 02:24:40,305.5
11/14/2024 02:24:41,305.5
11/14/2024 02:24:43,305.5
11/14/2024 02:24:45,305.5
11/14/2024 02:24:47,305.5
11/14/2024 02:24:49,328.3
11/14/2024 02:24:51,305.5
11/14/2024 02:24:53,305.5
11/14/2024 02:24:55,328.3
11/14/2024 02:24:57,305.5
11/14/2024 02:25:00,328.3
11/14/2024 02:25:02,328.3
11/14/2024 02:25:04,328.3
11/14/2024 02:25:06,305.5
11/14/2024 02:25:08,305.5
11/14/2024 02:25:10,305.5
11/14/2024 02:25:12,328.3
11/14/2024 02:25:14,328.3
11/14/2024 02:25:15,328.3
11/14/2024 02:25:17,328.3
11/14/2024 02:25:19,328.3
11/14/2024 02:25:22,328.3
11/14/2024 02:25:24,328.3
11/14/2024 02:25:26,305.5
11/14/2024 02:25:28,328.3
11/14/2024 02:25:30,305.5
11/14/2024 02:25:32,305.5
11/14/2024 02:25:34,305.5
11/14/2024 02:25:36,328.3
11/14/2024 02:25:38,328.3
11/14/2024 02:25:40,328.3
11/14/2024 02:25:42,328.3
11/14/2024 02:25:44,328.3
11/14/2024 02:25:46,328.3
11/14/2024 02:25:48,328.3
